Item ,Ilvl 1-25 ,Ilvl 26-40 ,Ilvl 41+ 
Lochaber Axe ,3,3,3
Long Staff ,3,3,3
Mage Plate ,3,3,3
Mesh Armor ,3,3,3
Morning Star ,3,3,3
Mythical Sword ,3,3,3
Ogre Axe ,3,3,3
Pavise ,3,3,3
Pellet Bow ,3,3,3
Quarterstaff ,3,3,3
Ring Mail ,3,3,3
Russet Armor ,3,3,3
Scutum ,3,3,3
Seraph Rod ,3,3,3
Sharktooth Armor ,3,3,3
Short Bow ,3,3,3
Spear ,3,3,3
Spider Bow ,3,3,3
Stalagmite ,3,3,3
SuperKhalimFlail ,3,3,3
Templar Coat ,3,3,3
Tigulated Mail ,3,3,3
Tower Shield ,3,3,3
Troll Nest ,3,3,3
Two-Handed Sword ,3,3,3
Tyrant Club ,3,3,3
War Spear ,3,3,3
War Sword ,3,3,3
Wirt's Leg ,3,3,3
Aegis ,3,3,4
Monarch ,3,3,4
Ward ,3,3,4
Aerin Shield ,3,4,4
Akaran Rondache ,3,4,4
Akaran Targe ,3,4,4
Ancient Armor ,3,4,4
Kurast Shield ,3,4,4
Archon Plate ,3,4,4
Balrog Blade ,3,4,4
Balrog Skin ,3,4,4
Bastard Sword ,3,4,4
Battle Hammer ,3,4,4
Battle Sword ,3,4,4
Bill ,3,4,4
Blade Bow ,3,4,4
Boneweave ,3,4,4
Broad Sword ,3,4,4
Champion Sword ,3,4,4
Chaos Armor ,3,4,4
Claymore ,3,4,4
Colossus Voulge ,3,4,4
Composite Bow ,3,4,4
Conquest Sword ,3,4,4
Crossbow ,3,4,4
Crown Shield ,3,4,4
Cryptic Sword ,3,4,4
Dacian Falx ,3,4,4
Diamond Mail ,3,4,4
Double Bow ,3,4,4
Dusk Shroud ,3,4,4
Embossed Plate ,3,4,4
Full Plate Mail ,3,4,4
Fuscina ,3,4,4
Giant Sword ,3,4,4
Gorgon Crossbow ,3,4,4
Gothic Plate ,3,4,4
Gothic Sword ,3,4,4
Great Bow ,3,4,4
Great Hauberk ,3,4,4
Guilded Shield ,3,4,4
Hellforged Plate ,3,4,4
Heraldic Shield ,3,4,4
Highland Blade ,3,4,4
Hunter's Bow ,3,4,4
Kraken Shell ,3,4,4
Lacquered Plate ,3,4,4
Legendary Mallet ,3,4,4
Long Sword ,3,4,4
Loricated Mail ,3,4,4
Ornate Armor ,3,4,4
Protector Shield ,3,4,4
Razor Bow ,3,4,4
Rondache ,3,4,4
Royal Shield ,3,4,4
Rune Sword ,3,4,4
Sacred Armor ,3,4,4
Sacred Rondache ,3,4,4
Sacred Targe ,3,4,4
Scarab Husk ,3,4,4
Shadow Plate ,3,4,4
Siege Crossbow ,3,4,4
Stygian Pike ,3,4,4
Targe ,3,4,4
Trident ,3,4,4
Tusk Sword ,3,4,4
Vortex Shield ,3,4,4
Voulge ,3,4,4
War Hammer ,3,4,4
Wire Fleece ,3,4,4
Wyrmhide ,3,4,4
Zakarum Shield ,3,4,4
Ashwood Bow ,3,4,5
Battle Scythe ,3,4,5
Brandistock ,3,4,5
Cedar Bow ,3,4,5
Chu-Ko-Nu ,3,4,5
Colossal Sword ,3,4,5
Cryptic Axe ,3,4,5
Demon Crossbow ,3,4,5
Diamond Bow ,3,4,5
Flail ,3,4,5
Flamberge ,3,4,5
Hellforge Hammer ,3,4,5
Knout ,3,4,5
Long Bow ,3,4,5
Mancatcher ,3,4,5
Matriarchal Bow ,3,4,5
Partizan ,3,4,5
Poleaxe ,3,4,5
Repeating Crossbow ,3,4,5
Rune Bow ,3,4,5
Scourge ,3,4,5
Scythe ,3,4,5
Shadow Bow ,3,4,5
Short Battle Bow ,3,4,5
Short Siege Bow ,3,4,5
Short War Bow ,3,4,5
Stag Bow ,3,4,5
Thresher ,3,4,5
War Fork ,3,4,5
Ward Bow ,3,4,5
Zweihander ,3,4,5
Ceremonial Bow ,3,4,5
Grand Matron Bow ,3,4,5
Reflex Bow ,3,4,5
Balista ,3,4,6
Bec-de-Corbin ,3,4,6
Ceremonial Pike ,3,4,6
Ceremonial Spear ,3,4,6
Colossus Blade ,3,4,6
Colossus Crossbow ,3,4,6
Crusader Bow ,3,4,6
Crystal Sword ,3,4,6
Dimensional Blade ,3,4,6
Executioner Sword ,3,4,6
Ghost Spear ,3,4,6
Giant Thresher ,3,4,6
Gothic Bow ,3,4,6
Great Maul ,3,4,6
Great Poleaxe ,3,4,6
Great Sword ,3,4,6
Grim Scythe ,3,4,6
Halberd ,3,4,6
Heavy Crossbow ,3,4,6
Hydra Bow ,3,4,6
Lance ,3,4,6
Long Battle Bow ,3,4,6
Long Siege Bow ,3,4,6
Long War Bow ,3,4,6
Maiden Pike ,3,4,6
Maiden Spear ,3,4,6
Martel de Fer ,3,4,6
Matriarchal Pike ,3,4,6
Matriarchal Spear ,3,4,6
Maul ,3,4,6
Ogre Maul ,3,4,6
Phase Blade ,3,4,6
Pike ,3,4,6
Spetum ,3,4,6
Thunder Maul ,3,4,6
War Club ,3,4,6
War Pike ,3,4,6
War Scythe ,3,4,6
Yari ,3,4,6
Caduceus ,3,5,5
Divine Scepter ,3,5,5
War Scepter ,3,5,5
Axe ,4,4,4
Battle Staff ,4,4,4
Cedar Staff ,4,4,4
Cleaver ,4,4,4
Elder Staff ,4,4,4
Feral Axe ,4,4,4
Gnarled Staff ,4,4,4
Gothic Staff ,4,4,4
Large Axe ,4,4,4
Military Axe ,4,4,4
Shillelah ,4,4,4
Small Crescent ,4,4,4
Battle Axe ,4,5,5
Bearded Axe ,4,5,5
Broad Axe ,4,5,5
Decapitator ,4,5,5
Double Axe ,4,5,5
Ettin Axe ,4,5,5
Silver Edged Axe ,4,5,5
Tabar ,4,5,5
Twin Axe ,4,5,5
Ancient Axe ,4,5,6
Berserker Axe ,4,5,6
Champion Axe ,4,5,6
Crowbill ,4,5,6
Giant Axe ,4,5,6
Glorious Axe ,4,5,6
Gothic Axe ,4,5,6
Great Axe ,4,5,6
Military Pick ,4,5,6
Naga ,4,5,6
War Axe ,4,5,6
War Spike ,4,5,6
Archon Staff ,5,6,6
Rune Staff ,5,6,6
War Staff ,5,6,6
